[Gene ID]	[Organism]	[Product Description]	
PF3D7_0732100	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)	
PF3D7_0732800	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2	
PF3D7_0733000	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0800100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0800200	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0800300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0808600	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0808700	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0809100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0827800	P. falciparum 3D7	SET domain protein, putative (SET3)	
PF3D7_0833300	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0833500	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0900100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0900800	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_0906000	P. falciparum 3D7	exoribonuclease II (RNaseII)	
PF3D7_0937600	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_0937800	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1000100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1000900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), truncated	
PF3D7_1041300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
