	SFC-023_S32_L002_alignment.bam	SFC-025_S33_L002_alignment.bam	SFC13_S23_L002_alignment.bam	SFC14_S17_L001_alignment.bam	SFC15-CM_S29_L002_alignment.bam	SFC16_S6_L001_alignment.bam	SFC17_S7_L001_alignment.bam	SFC-18_S20_L002_alignment.bam	SFC19_S24_L002_alignment.bam	SFC-21_S22_L002_alignment.bam	SFC22_S9_L001_alignment.bam	SFD1-CM_S28_L002_alignment.bam	SFM-10_S1_L001_alignment.bam	SFM-1_S11_L001_alignment.bam	SFM-3_S12_L001_alignment.bam	SFM-5_S2_L001_alignment.bam	SFM-6_S3_L001_alignment.bam	SFM-7_S13_L001_alignment.bam	SFM-8_S8_L001_alignment.bam	SFM9_S10_L001_alignment.bam	SFU2_S5_L001_alignment.bam	SFU-3_S21_L002_alignment.bam	SXC2_S4_L001_alignment.bam	IFC63_S16_L001_alignment.bam	IFC66_S31_L002_alignment.bam	IFD6_S1alignment.bam	IFD8_S2alignment.bam	IFM047_S10alignment.bam	IFM-049_S6alignment.bam	IFM050_S11alignment.bam	IFM054_S12alignment.bam	IFM058_S13alignment.bam	IFM060_S14alignment.bam	IFM061_S15alignment.bam	IFM12_S16alignment.bam	IFM14_S7alignment.bam	IFM21_S3alignment.bam	IFM23_S4alignment.bam	IFM24_S5alignment.bam	IFM26_S8alignment.bam	IFM27_S9alignment.bam	IFM53_S14_L001_alignment.bam	IFM56_S15alignment.bam	IFM57_S30_L002_alignment.bam
Cluster-10.56	0	0	0	0	0	1	6	0	0	0	3934	0	0	0	0	0	0	17	8	0	0	0	0	0	724	0	0	0	100	11	0	0	0	0	0	0	0	3	0	0	2	0	0	558
Cluster-10.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.58	0	0	0	70	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	4	0	1	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0
Cluster-10.59	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	0	60	0	0	0	0	0	0	0	0	0
Cluster-10.60	0	1	0	13	2	0	0	0	64	0	0	0	0	0	0	0	0	1	0	0	0	2	13	4	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	95	11	2	0	0
Cluster-10.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	4837	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Cluster-10.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	909	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cluster-10.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.66	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	124
Cluster-10.67	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	9247	1	0	1	1	0	0	1	0	2	0	3	0	0	0
Cluster-10.68	0	0	23	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Cluster-10.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	5	31758	1	1	1	0	4	2	5	0	3	4	2	0	0	0
Cluster-10.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	1	27763	2	0	1	1	1	0	2	4	3	1	2	0	0	0
Cluster-10.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	106	0	0	0	0
Cluster-10.73	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	109	0	0	0	0	3	38	0	0	127	0	0	0	1	0	0	0	0	0	0	0	0	0
Cluster-10.74	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	89	3	3	3	26765	0	1	0	1	2	3	2	1	5	7	0	0	0	0
Cluster-10.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.76	0	2	256	2	0	0	0	0	0	0	583	1	0	0	213	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	28	0	0	0	0	0	0	0	0	0	0	0	186
Cluster-10.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2828	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Cluster-10.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8883	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Cluster-10.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2617	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	518	0	1	0	0	0	0	0	4	1	0	1	0	1	0
Cluster-10.81	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	14	6	0	0	0	0	0	0	0	0	0
Cluster-10.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	15	0	0
Cluster-10.83	0	2	0	3	0	19	1	0	1970	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	2	0	0	31	5	0	0	0	5	0	0	2	25	2	41	7	8	0	1
Cluster-10.84	0	0	0	0	0	0	0	0	5	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Cluster-10.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.88	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	43	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0
Cluster-10.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	455	16144	1	0	0	0	2	2	0	1	1	1	1	0	0	0
Cluster-10.90	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	80	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0
Cluster-10.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.92	0	0	3	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	296	0	3	0	142	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Cluster-10.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	7	0
Cluster-10.94	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.95	0	4	3793	0	6	0	0	0	180	1	0	0	5	0	1652	0	2	0	0	0	0	0	253	0	0	0	1	50	0	1	7	1	0	0	0	0	0	114	0	4	0	17	0	0
Cluster-10.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0
Cluster-10.97	0	0	1	0	23	100	8	0	4	0	7	0	2	26	0	0	2	0	13	0	0	4	0	5	0	8	22	29	87	232	10	2	0	3	44	0	14	88	10	3	8	13	0	1
Cluster-10.98	1370	0	0	0	0	73	0	14	0	0	263	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	3	0	2	0	4	139	1	0	21
Cluster-10.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	146	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cluster-10.100	0	0	0	1	0	42	1	0	0	3	1896	0	1	0	0	0	0	0	332	0	0	0	0	1	82	16	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Cluster-10.101	0	2	0	0	0	0	2	0	492	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	6	4	33	0	5	0	0	0	0	19	0	0	0	0	0	0	0	1
Cluster-10.102	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	11	87	0	0	121	0	0	0	0	0	0	0	0	0	11	0	0	0
Cluster-10.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2527	0	0	0	1	0	1	0	0	0	1	0	0	0	0
Cluster-10.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Cluster-10.106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	29	169	0	0	275	0	0	0	0	0	0	0	0	0	8	0	0	0
Cluster-10.107	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1	14	132	0	0	169	0	0	0	0	0	0	0	0	0	13	0	0	0
Cluster-10.108	0	0	0	0	0	0	0	3	0	0	0	0	0	363	0	1	0	0	0	0	0	0	38	0	0	0	1	0	192	0	0	83	0	0	0	58	0	5	0	10	3	0	0	0
Cluster-10.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	7028	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Cluster-10.110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cluster-10.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	9	0	0	0	0	0	0	0	0	533
Cluster-10.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.113	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.115	0	0	0	0	0	1	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster-10.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	4
Cluster-10.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
