baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
180009_0.5,30.2044129022745,1.37608065191475,0.890280235761996,1.54567134778293,0.122183960391349,1
910066_0.5,3.53174499288806,0.285224164716336,1.58949463261277,0.179443301577869,0.857589633388053,1
510009_0.5,65.7753176915333,-0.805060459183235,0.695961776016388,-1.15675959072252,0.247370595686609,1
1200163_0.5,2.87341600717347,0.19194623036542,1.47529990708718,0.130106583375578,0.896482101616272,1
1440005_0.5,72.2768004188585,0.161970226699729,0.540855374474377,0.299470494967601,0.764581081219631,1
350207_0.5,8.92031447850443,-0.730985157724766,1.08804544369924,-0.671833296998601,0.501689828622144,1
1550002_0.5,34.2852961233979,-0.662103529127946,0.640963858426676,-1.03298106503721,0.301612759874285,1
740026_0.5,1.72233371490716,-1.00049642603565,1.6025081210643,-0.624331579281589,0.532409848894323,NA
1510015_0.5,14.3620008569147,1.06566148759745,0.753173366866285,1.4148953408049,0.1570991842736,1
570021_0.5,25.5485482102246,-0.483391723566864,0.564712566695121,-0.855996044847783,0.391999967168706,1
1370000_0.5,274.450406494237,-0.186785691615993,0.130319998853303,-1.4332849390695,0.151776424291796,1
850000_0.5,204.217725016496,0.0277502185496443,0.203636157373358,0.136273532694714,0.891605046524272,1
170019_0.5,10.0067389910985,-1.56396140372414,0.908608977799847,-1.72127003137389,0.085201834981481,1
1290003_0.5,22.8021278240936,0.0111332373884384,0.829692348128821,0.0134185127939854,0.989293897097585,1
530012_0.5,28.2467468265392,0.405980848011166,0.657283443022513,0.617664802485007,0.536796318165779,1
810000_0.5,300.172113151331,0.195593429874551,0.166776085917307,1.17279062401988,0.240879778962871,1
60000_0.5,344.250557056002,0.0801310668955228,0.118499633490657,0.676213626448394,0.498905022276953,1
930000_0.5,85.4747460823263,-1.03079843563165,0.422038929786603,-2.44242500603644,0.0145889603491305,1
90029_0.5,33.49987137313,0.021543050740135,0.592818753837299,0.0363400290572581,0.971011232433157,1
380002_0.5,98.8727304296459,-0.479497544587865,0.39765797005964,-1.20580393375732,0.227893098380951,1
1470141_0.5,2.92641368971762,0.458492369345789,1.36949368650375,0.334789691887005,0.737783736932914,1
360002_0.5,33.788241366925,-0.985592351243443,0.66830740149618,-1.4747589941948,0.14027734920951,1
1140046_0.5,3.59228963886715,0.213096397879186,1.47348949656752,0.144620235417757,0.88501071964536,1
880001_0.5,149.972416467357,-0.470713251022477,0.251566227234935,-1.87113054163222,0.0613269892287544,1
1230004_0.5,55.2816765774949,0.215422941557127,0.545544578882151,0.394876880636483,0.692933752962804,1
470138_0.5,3.22403731537736,-0.134923321397981,1.46394082935131,-0.0921644636810679,0.926567371712538,1
1300059_0.5,18.7410938184402,-0.350124144227361,0.940487229434063,-0.372279530513187,0.709684737411759,1
540002_0.5,69.4498862229497,0.505672442457849,0.532631024629529,0.94938600846537,0.34242432382276,1
1270013_0.5,50.2420224399419,-0.471189725132045,0.652803116353152,-0.721794540081733,0.470420806796665,1
160000_0.5,163.155637510385,0.25713075331041,0.403908787767911,0.636605989018886,0.524381523141984,1
110009_0.5,3.23539972277985,0.195424354749821,1.5077160036007,0.12961615734204,0.89687011937919,1
940004_0.5,8.57279552938756,0.454051016811643,0.786976179128581,0.576956493542681,0.563968845862697,1
1060003_0.5,231.834392184835,0.397312685996763,0.381423544605084,1.04165747399818,0.297570511840296,1
410032_0.5,16.1439785444819,0.973250566068119,0.855699081877691,1.13737479293828,0.255381640244198,1
1410001_0.5,264.506745288233,-0.115605563072182,0.265372960707723,-0.435634296591006,0.663102083096422,1
670007_0.5,26.700800257957,1.13716428235653,0.534718604301139,2.12665928061875,0.0334484031209547,1
1000003_0.5,15.2789852613403,0.159131525130893,0.955718552365074,0.1665045893868,0.867759871778152,1
220005_0.5,9.04430974762753,0.915913581214905,1.3395230956352,0.683760947608432,0.494126130359661,1
720000_0.5,243.123642890506,-0.140326004253601,0.176547117943075,-0.794835995560384,0.426708909426619,1
290000_0.5,125.94996030199,-0.628050798649508,0.307440125150621,-2.04283939300966,0.0410683395410327,1
1490007_0.5,38.3855517662764,-0.64500437908193,0.507469390213314,-1.27102125078087,0.203721088648928,1
1110004_0.5,32.1662529751981,-0.727416065081334,0.644585554168242,-1.1285019659182,0.259107987084152,1
140002_0.5,39.5452234817761,-0.419414956106563,0.576523724388216,-0.727489500196423,0.466926145115335,1
1250144_0.5,13.2746607139056,-0.970599896864037,0.77493789943175,-1.25248732521117,0.210392343969553,1
560001_0.5,80.4462202525783,-0.17744099958185,0.321682023263766,-0.551603716556941,0.581219889539291,1
820085_0.5,1.3644085550483,-1.37637994092503,1.55908280512874,-0.882813880313029,0.377336839727296,NA
50000_0.5,131.16625966525,-0.617906024638991,0.307674067166799,-2.00831363633909,0.044609973731993,1
890003_0.5,123.50372558578,-0.441777898122057,0.431129490454643,-1.02469886171829,0.305505300313885,1
630000_0.5,627.803357725175,0.0798899586446767,0.143831490607775,0.555441359239854,0.578592809665519,1
1170150_0.5,3.72731891286769,0.192946865216835,1.33620811902396,0.14439881218337,0.885185554720523,1
320000_0.5,428.093637273644,0.229696015662932,0.247865398987904,0.926696572417277,0.354084097656347,1
1540023_0.5,22.5972355556483,0.299785280837985,1.03237448776665,0.290384239818356,0.771522299328187,1
760007_0.5,1.84051167163093,2.95622243506105,1.60428188280669,1.8427076106408,0.0653717122345728,NA
480094_0.5,0.674704857312558,1.87182182170674,1.60314998968454,1.16758995337365,0.242972204621911,NA
240185_0.5,5.31741389514215,0.297611996640021,1.60092678489648,0.185899817185746,0.852523325567613,1
