KEGG_ID	Genes
ec00981__PK__KEGG	"PF3D7_0218300,PF3D7_0219100,PF3D7_0407100,PF3D7_0409300,PF3D7_0422000,PF3D7_0622200,PF3D7_0622500,PF3D7_0626100,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0918800,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00941__PK__KEGG	"PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1210900,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1247300,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1341600,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00945__PK__KEGG	"PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1210900,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1247300,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1341600,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00624__PK__KEGG	"PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0611100,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1408900,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,PF3D7_1455900,"
ec00900__PK__KEGG	"PF3D7_0104400,PF3D7_0106900,PF3D7_0202700,PF3D7_0207300,PF3D7_0207400,PF3D7_0207500,PF3D7_0207600,PF3D7_0207700,PF3D7_0207800,PF3D7_0207900,PF3D7_0208000,PF3D7_0209300,PF3D7_0503100,PF3D7_0519300,PF3D7_0602500,PF3D7_0826400,PF3D7_0902800,PF3D7_0923100,PF3D7_0924000,PF3D7_1018600,PF3D7_1022800,PF3D7_1031400,PF3D7_1115300,PF3D7_1115400,PF3D7_1115700,PF3D7_1126600,PF3D7_1128400,PF3D7_1147400,PF3D7_1147500,PF3D7_1236800,PF3D7_1238900,PF3D7_1242600,PF3D7_1337200,PF3D7_1354800,PF3D7_1362400,PF3D7_1417300,PF3D7_1437000,PF3D7_1450900,PF3D7_1458000,PF3D7_1467300,"
ec00330__PK__KEGG	"PF3D7_0109500,PF3D7_0202900,PF3D7_0204500,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0608800,PF3D7_0609800,PF3D7_0714300,PF3D7_0802000,PF3D7_0805400,PF3D7_0814500,PF3D7_0826200,PF3D7_0829400,PF3D7_0906500,PF3D7_0914200,PF3D7_0922600,PF3D7_0923200,PF3D7_0932500,PF3D7_1027900,PF3D7_1033100,PF3D7_1115900,PF3D7_1121000,PF3D7_1129000,PF3D7_1308200,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1357900,PF3D7_1401300,PF3D7_1416500,PF3D7_1430700,PF3D7_1459100,"
ec00565__PK__KEGG	"PF3D7_0202900,PF3D7_0209100,PF3D7_0215900,PF3D7_0218600,PF3D7_0303200,PF3D7_0303400,PF3D7_0319200,PF3D7_0528400,PF3D7_0609800,PF3D7_0625000,PF3D7_0628300,PF3D7_0714300,PF3D7_0805400,PF3D7_0805600,PF3D7_0914200,PF3D7_0924000,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1116200,PF3D7_1118400,PF3D7_1121000,PF3D7_1206100,PF3D7_1209500,PF3D7_1239000,PF3D7_1321400,PF3D7_1321600,PF3D7_1322500,PF3D7_1324700,PF3D7_1340600,PF3D7_1354200,PF3D7_1358000,"
ec00061__PK__KEGG	"PF3D7_0202900,PF3D7_0211400,PF3D7_0215900,PF3D7_0303400,PF3D7_0511200,PF3D7_0528400,PF3D7_0605900,PF3D7_0609800,PF3D7_0615100,PF3D7_0626300,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D,"
ec00680__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0310300,PF3D7_0422000,PF3D7_0528400,PF3D7_0609800,PF3D7_0618500,PF3D7_0626100,PF3D7_0627800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0915400,PF3D7_0932500,PF3D7_1015900,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1128300,PF3D7_1235600,PF3D7_1238900,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1406700,PF3D7_1426700,PF3D7_1444800,PF3D7_1456100,"
ec00480__PK__KEGG	"PF3D7_0304500,PF3D7_0306300,PF3D7_0512200,PF3D7_0606900,PF3D7_0709200,PF3D7_0729200,PF3D7_0802200,PF3D7_0918900,PF3D7_0923800,PF3D7_1015800,PF3D7_1027300,PF3D7_1033100,PF3D7_1129000,PF3D7_1212000,PF3D7_1215000,PF3D7_1311800,PF3D7_1328800,PF3D7_1345700,PF3D7_1405600,PF3D7_1419300,PF3D7_1419800,PF3D7_1437200,PF3D7_1438900,PF3D7_1446200,PF3D7_1448800,PF3D7_1451400,PF3D7_1453800,PF3D7_1454700,PF3D7_1472400,"
ec00650__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0422000,PF3D7_0528400,PF3D7_0608800,PF3D7_0609800,PF3D7_0611100,PF3D7_0626100,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1017200,PF3D7_1027900,PF3D7_1034400,PF3D7_1115900,PF3D7_1121000,PF3D7_1212800,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1425200,PF3D7_1437000,PF3D7_1450900,"
ec00010__PK__KEGG	"PF3D7_0303700,PF3D7_0310300,PF3D7_0318800,PF3D7_0413500,PF3D7_0618500,PF3D7_0624000,PF3D7_0626800,PF3D7_0627800,PF3D7_0815900,PF3D7_0915400,PF3D7_0922500,PF3D7_1012500,PF3D7_1015900,PF3D7_1020800,PF3D7_1037100,PF3D7_1124500,PF3D7_1128300,PF3D7_1232200,PF3D7_1308500,PF3D7_1324900,PF3D7_1325200,PF3D7_1342800,PF3D7_1436000,PF3D7_1439900,PF3D7_1444800,PF3D7_1446400,PF3D7_1462800,"
ec00620__PK__KEGG	"PF3D7_0303700,PF3D7_0406400,PF3D7_0604700,PF3D7_0616800,PF3D7_0618500,PF3D7_0626800,PF3D7_0627800,PF3D7_0815900,PF3D7_0927300,PF3D7_1020800,PF3D7_1026900,PF3D7_1037100,PF3D7_1111500,PF3D7_1113700,PF3D7_1124500,PF3D7_1205700,PF3D7_1232200,PF3D7_1324900,PF3D7_1325200,PF3D7_1342800,PF3D7_1364600,PF3D7_1409100,PF3D7_1426700,PF3D7_1437000,PF3D7_1446400,PF3D7_1450900,"
ec00362__PK__KEGG	"PF3D7_0202900,PF3D7_0215000,PF3D7_0215900,PF3D7_0303400,PF3D7_0422000,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0626100,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1017200,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1414500,PF3D7_1425200,PF3D7_1437000,PF3D7_1450900,"
ec00051__PK__KEGG	"PF3D7_0318800,PF3D7_0422000,PF3D7_0514600,PF3D7_0624000,PF3D7_0626100,PF3D7_0801800,PF3D7_0813800,PF3D7_0915400,PF3D7_0924000,PF3D7_1014000,PF3D7_1017400,PF3D7_1118400,PF3D7_1126600,PF3D7_1128300,PF3D7_1206100,PF3D7_1210900,PF3D7_1213900,PF3D7_1247300,PF3D7_1341600,PF3D7_1354200,PF3D7_1364600,PF3D7_1409100,PF3D7_1420900,PF3D7_1439900,PF3D7_1444800,"
ec00300__PK__KEGG	"PF3D7_0215100,PF3D7_0219100,PF3D7_0303800,PF3D7_0308600,PF3D7_0603400,PF3D7_0624500,PF3D7_0627300,PF3D7_0817000,PF3D7_0826100,PF3D7_0905700,PF3D7_0915100,PF3D7_1004300,PF3D7_1137400,PF3D7_1235300,PF3D7_1237000,PF3D7_1245300,PF3D7_1308500,PF3D7_1323000,PF3D7_1331600,PF3D7_1360700,PF3D7_1414100,PF3D7_1422500,PF3D7_1423100,PF3D7_1451300,"
ec00520__PK__KEGG	"PF3D7_0413500,PF3D7_0422000,PF3D7_0517500,PF3D7_0612600,PF3D7_0624000,PF3D7_0626100,PF3D7_0801800,PF3D7_0813800,PF3D7_0910900,PF3D7_0918100,PF3D7_1012500,PF3D7_1014000,PF3D7_1017400,PF3D7_1025100,PF3D7_1130000,PF3D7_1213900,PF3D7_1232900,PF3D7_1252200,PF3D7_1343600,PF3D7_1367500,PF3D7_1420900,PF3D7_1436000,PF3D7_1438700,"
ec00623__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0422000,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0924000,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1126600,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1408900,PF3D7_1414500,PF3D7_1455900,"
ec00903__PK__KEGG	"PF3D7_0202900,PF3D7_0215000,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1017200,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1414500,PF3D7_1425200,"
ec00960__PK__KEGG	"PF3D7_0202900,PF3D7_0204500,PF3D7_0215000,PF3D7_0215900,PF3D7_0303400,PF3D7_0405700,PF3D7_0413700,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0924000,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1126600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,"
ec00020__PK__KEGG	"PF3D7_0303700,PF3D7_0609200,PF3D7_0611100,PF3D7_0616800,PF3D7_0618500,PF3D7_0815900,PF3D7_0820700,PF3D7_0927300,PF3D7_1020800,PF3D7_1022500,PF3D7_1034400,PF3D7_1108500,PF3D7_1124500,PF3D7_1212800,PF3D7_1232200,PF3D7_1320800,PF3D7_1342100,PF3D7_1342800,PF3D7_1345700,PF3D7_1431600,PF3D7_1437700,PF3D7_1446400,"
ec00562__PK__KEGG	"PF3D7_0110600,PF3D7_0311300,PF3D7_0318800,PF3D7_0419900,PF3D7_0509800,PF3D7_0511800,PF3D7_0514800,PF3D7_0515300,PF3D7_0705500,PF3D7_0802500,PF3D7_1008000,PF3D7_1010400,PF3D7_1013500,PF3D7_1031200,PF3D7_1032800,PF3D7_1111600,PF3D7_1129600,PF3D7_1315600,PF3D7_1316100,PF3D7_1354200,PF3D7_1412400,PF3D7_1439900,"
ec00071__PK__KEGG	"PF3D7_0109300,PF3D7_0215000,PF3D7_0215300,PF3D7_0301000,PF3D7_0401900,PF3D7_0422000,PF3D7_0525100,PF3D7_0605900,PF3D7_0619500,PF3D7_0731600,PF3D7_0920000,PF3D7_1017200,PF3D7_1200700,PF3D7_1238800,PF3D7_1253400,PF3D7_1372400,PF3D7_1425200,PF3D7_1437000,PF3D7_1450900,PF3D7_1477900,PF3D7_1479000,"
ec00720__PK__KEGG	"PF3D7_0215000,PF3D7_0422000,PF3D7_0611100,PF3D7_0618500,PF3D7_0619500,PF3D7_0626100,PF3D7_0627800,PF3D7_0630700,PF3D7_0927300,PF3D7_1017200,PF3D7_1026900,PF3D7_1108500,PF3D7_1212800,PF3D7_1342100,PF3D7_1345700,PF3D7_1425200,PF3D7_1426700,PF3D7_1431600,PF3D7_1437000,PF3D7_1437700,PF3D7_1450900,"
ec00600__PK__KEGG	"PF3D7_0303200,PF3D7_0409500,PF3D7_0508200,PF3D7_0609400,PF3D7_0625000,PF3D7_0625100,PF3D7_0805600,PF3D7_1118400,PF3D7_1141600,PF3D7_1206100,PF3D7_1210900,PF3D7_1238600,PF3D7_1247300,PF3D7_1328800,PF3D7_1341600,PF3D7_1354200,PF3D7_1403700,PF3D7_1415700,PF3D7_1448800,PF3D7_1451400,"
ec00906__PK__KEGG	"PF3D7_0202700,PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1210900,PF3D7_1247300,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1341600,PF3D7_1414500,"
ec00561__PK__KEGG	"PF3D7_0301300,PF3D7_0303200,PF3D7_0322300,PF3D7_0625000,PF3D7_0805600,PF3D7_0924000,PF3D7_0930500,PF3D7_1001600,PF3D7_1210900,PF3D7_1212500,PF3D7_1247300,PF3D7_1318200,PF3D7_1341600,PF3D7_1351600,PF3D7_1364600,PF3D7_1409100,PF3D7_1427100,PF3D7_1444300,PF3D7_1471400,"
ec00640__PK__KEGG	"PF3D7_0422000,PF3D7_0608800,PF3D7_0618500,PF3D7_0626100,PF3D7_0627800,PF3D7_0924000,PF3D7_1017200,PF3D7_1026900,PF3D7_1108500,PF3D7_1126600,PF3D7_1240000,PF3D7_1324900,PF3D7_1325200,PF3D7_1414500,PF3D7_1425200,PF3D7_1431600,PF3D7_1437000,PF3D7_1437700,PF3D7_1450900,"
ec00965__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1210900,PF3D7_1247300,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1341600,"
ec00626__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1323000,PF3D7_1324700,PF3D7_1331600,PF3D7_1414500,"
ec00983__PK__KEGG	"PF3D7_0403800,PF3D7_0512700,PF3D7_0720800,PF3D7_0805000,PF3D7_0817500,PF3D7_0818600,PF3D7_0920800,PF3D7_1012400,PF3D7_1012600,PF3D7_1023200,PF3D7_1120400,PF3D7_1128700,PF3D7_1143000,PF3D7_1204600,PF3D7_1308900,PF3D7_1349400,PF3D7_1414500,"
ec00730__PK__KEGG	"PF3D7_0520500,PF3D7_0614000,PF3D7_0627500,PF3D7_0716600,PF3D7_0727200,PF3D7_0924300,PF3D7_1118400,PF3D7_1140300,PF3D7_1143900,PF3D7_1206100,PF3D7_1239600,PF3D7_1311000,PF3D7_1333200,PF3D7_1337200,PF3D7_1352700,PF3D7_1354200,PF3D7_1365400,"
ec00260__PK__KEGG	"PF3D7_0310300,PF3D7_0422000,PF3D7_0626100,PF3D7_0815900,PF3D7_1132900,PF3D7_1232200,PF3D7_1235600,PF3D7_1246100,PF3D7_1328800,PF3D7_1344000,PF3D7_1365500,PF3D7_1366800,PF3D7_1406700,PF3D7_1448800,PF3D7_1451400,PF3D7_1452200,PF3D7_1456100,"
ec00642__PK__KEGG	"PF3D7_0202900,PF3D7_0215000,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0619500,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,"
ec00904__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1414500,"
ec00780__PK__KEGG	"PF3D7_0211400,PF3D7_0219100,PF3D7_0321500,PF3D7_0626300,PF3D7_0627500,PF3D7_0904400,PF3D7_0918800,PF3D7_0922900,PF3D7_1006900,PF3D7_1026900,PF3D7_1217900,PF3D7_1323000,PF3D7_1331300,PF3D7_1428300,PF3D7_1433600,PF3D7_1460000,"
ec00540__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0303400,PF3D7_0528400,PF3D7_0609800,PF3D7_0714300,PF3D7_0805400,PF3D7_0914200,PF3D7_0932500,PF3D7_1027900,PF3D7_1115900,PF3D7_1121000,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,"
ec00030__PK__KEGG	"PF3D7_0413500,PF3D7_0514600,PF3D7_0610800,PF3D7_0915400,PF3D7_1012500,PF3D7_1021600,PF3D7_1128300,PF3D7_1219900,PF3D7_1325100,PF3D7_1327800,PF3D7_1436000,PF3D7_1444800,PF3D7_1453800,PF3D7_1454700,"
ec00250__PK__KEGG	"PF3D7_0204500,PF3D7_0206700,PF3D7_0309500,PF3D7_0608800,PF3D7_0802000,PF3D7_0922600,PF3D7_1025100,PF3D7_1308200,PF3D7_1344800,PF3D7_1354500,PF3D7_1416500,PF3D7_1430700,PF3D7_1435300,"
ec00231__PK__KEGG	"PF3D7_0219100,PF3D7_0403800,PF3D7_0615300,PF3D7_0622200,PF3D7_0805000,PF3D7_0817500,PF3D7_0818600,PF3D7_0918800,PF3D7_1120400,PF3D7_1128700,PF3D7_1143000,PF3D7_1214100,PF3D7_1308900,"
ec00760__PK__KEGG	"PF3D7_0320500,PF3D7_0513300,PF3D7_0629100,PF3D7_0913300,PF3D7_0926700,PF3D7_1118400,PF3D7_1206100,PF3D7_1327600,PF3D7_1328800,PF3D7_1354200,PF3D7_1448800,PF3D7_1451400,PF3D7_1453500,"
ec00563__PK__KEGG	"PF3D7_0615300,PF3D7_0618900,PF3D7_0624700,PF3D7_0624800,PF3D7_0911000,PF3D7_0935300,PF3D7_1032400,PF3D7_1106800,PF3D7_1141400,PF3D7_1210900,PF3D7_1214100,PF3D7_1247300,PF3D7_1341600,"
ec00710__PK__KEGG	"PF3D7_0204500,PF3D7_0318800,PF3D7_0514600,PF3D7_0610800,PF3D7_0618500,PF3D7_0922500,PF3D7_1219900,PF3D7_1308500,PF3D7_1426700,PF3D7_1439900,PF3D7_1444800,PF3D7_1462800,"
ec00280__PK__KEGG	"PF3D7_0303700,PF3D7_0422000,PF3D7_0504600,PF3D7_0815900,PF3D7_1017200,PF3D7_1232200,PF3D7_1240000,PF3D7_1312600,PF3D7_1425200,PF3D7_1437000,PF3D7_1450900,"
ec00630__PK__KEGG	"PF3D7_0609200,PF3D7_0618500,PF3D7_0626100,PF3D7_0922600,PF3D7_1022500,PF3D7_1033400,PF3D7_1235600,PF3D7_1342100,PF3D7_1437000,PF3D7_1450900,PF3D7_1456100,"
ec00790__PK__KEGG	"PF3D7_0417200,PF3D7_0628000,PF3D7_0810800,PF3D7_0912400,PF3D7_0922400,PF3D7_1224000,PF3D7_1226100,PF3D7_1324800,PF3D7_1431300,PF3D7_1458400,"
ec00592__PK__KEGG	"PF3D7_0209100,PF3D7_0215000,PF3D7_0218600,PF3D7_0619500,PF3D7_0814400,PF3D7_0924000,PF3D7_1017200,PF3D7_1126600,PF3D7_1358000,PF3D7_1425200,"
ec00400__PK__KEGG	"PF3D7_0204500,PF3D7_0206300,PF3D7_0422000,PF3D7_0623000,PF3D7_0626100,PF3D7_1323000,PF3D7_1331600,PF3D7_1363700,PF3D7_1444700,"
ec00670__PK__KEGG	"PF3D7_0417200,PF3D7_0630700,PF3D7_1132900,PF3D7_1235600,PF3D7_1313200,PF3D7_1344000,PF3D7_1365500,PF3D7_1452200,PF3D7_1456100,"
ec00770__PK__KEGG	"PF3D7_0412300,PF3D7_0420200,PF3D7_0609400,PF3D7_0704700,PF3D7_0816100,PF3D7_1102400,PF3D7_1420600,PF3D7_1437400,PF3D7_1443700,"
ec00740__PK__KEGG	"PF3D7_0805900,PF3D7_0918000,PF3D7_1015000,PF3D7_1118400,PF3D7_1206100,PF3D7_1354200,PF3D7_1359100,PF3D7_1403900,PF3D7_1430300,"
ec00053__PK__KEGG	"PF3D7_0422000,PF3D7_0501400,PF3D7_0626100,PF3D7_0924000,PF3D7_1118400,PF3D7_1126600,PF3D7_1206100,PF3D7_1354200,"
ec00052__PK__KEGG	"PF3D7_0413500,PF3D7_0517500,PF3D7_0624000,PF3D7_0915400,PF3D7_1012500,PF3D7_1128300,PF3D7_1364600,PF3D7_1409100,"
ec00363__PK__KEGG	"PF3D7_0422000,PF3D7_0611100,PF3D7_0626100,PF3D7_0924000,PF3D7_1126600,PF3D7_1323000,PF3D7_1331600,PF3D7_1414500,"
ec00930__PK__KEGG	"PF3D7_0215000,PF3D7_0422000,PF3D7_0619500,PF3D7_1017200,PF3D7_1328800,PF3D7_1425200,PF3D7_1448800,PF3D7_1451400,"
ec00910__PK__KEGG	"PF3D7_0802000,PF3D7_0922600,PF3D7_1140000,PF3D7_1308200,PF3D7_1367500,PF3D7_1416500,PF3D7_1430700,PF3D7_1435300,"
ec00361__PK__KEGG	"PF3D7_0519300,PF3D7_0602500,PF3D7_0826400,PF3D7_1018600,PF3D7_1128400,PF3D7_1408900,PF3D7_1414500,PF3D7_1455900,"
ec00590__PK__KEGG	"PF3D7_0209100,PF3D7_0218600,PF3D7_0924000,PF3D7_1212000,PF3D7_1358000,PF3D7_1414500,PF3D7_1453700,"
ec00062__PK__KEGG	"PF3D7_0109300,PF3D7_0422000,PF3D7_0605900,PF3D7_0920000,PF3D7_1017200,PF3D7_1135900,PF3D7_1425200,"
ec00591__PK__KEGG	"PF3D7_0209100,PF3D7_0218600,PF3D7_0422000,PF3D7_0626100,PF3D7_0924000,PF3D7_1358000,PF3D7_1414500,"
ec00364__PK__KEGG	"PF3D7_0215000,PF3D7_0619500,PF3D7_1328800,PF3D7_1408900,PF3D7_1448800,PF3D7_1451400,PF3D7_1455900,"
ec00510__PK__KEGG	"PF3D7_0211600,PF3D7_0311600,PF3D7_0321200,PF3D7_0726700,PF3D7_0726800,PF3D7_0806400,PF3D7_1116600,PF3D7_1141600,"
ec00920__PK__KEGG	"PF3D7_0519300,PF3D7_0602500,PF3D7_0826400,PF3D7_1018600,PF3D7_1128400,PF3D7_1206400,"
ec00040__PK__KEGG	"PF3D7_0422000,PF3D7_0517500,PF3D7_0626100,PF3D7_1219900,PF3D7_1364600,PF3D7_1409100,"
ec00830__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_0924000,PF3D7_1126600,PF3D7_1414500,"
ec00410__PK__KEGG	"PF3D7_0608800,PF3D7_1017200,PF3D7_1129000,PF3D7_1240000,PF3D7_1425200,"
ec00521__PK__KEGG	"PF3D7_0413500,PF3D7_0511800,PF3D7_0624000,PF3D7_0705500,PF3D7_1012500,"
ec00622__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_1408900,PF3D7_1414500,PF3D7_1455900,"
ec00281__PK__KEGG	"PF3D7_0215000,PF3D7_0422000,PF3D7_0619500,PF3D7_1017200,PF3D7_1425200,"
ec00500__PK__KEGG	"PF3D7_0413500,PF3D7_0517500,PF3D7_0624000,PF3D7_1012500,PF3D7_1436000,"
ec00908__PK__KEGG	"PF3D7_1207600,PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec01056__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_1323000,PF3D7_1331600,"
ec00633__PK__KEGG	"PF3D7_0219100,PF3D7_0422000,PF3D7_0626100,PF3D7_0918800,"
ec00785__PK__KEGG	"PF3D7_0823600,PF3D7_0923600,PF3D7_1314600,PF3D7_1344600,"
ec00625__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_1033400,PF3D7_1414500,"
ec00440__PK__KEGG	"PF3D7_0609400,PF3D7_0628300,PF3D7_1316600,PF3D7_1347700,"
ec00601__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00944__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00522__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00966__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_1414500,"
ec00660__PK__KEGG	"PF3D7_1108500,PF3D7_1431600,PF3D7_1437700,"
ec00140__PK__KEGG	"PF3D7_0422000,PF3D7_0626100,PF3D7_1414500,"
ec00982__PK__KEGG	"PF3D7_0815300,PF3D7_1414500,PF3D7_1419300,"
ec00513__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00603__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00604__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00351__PK__KEGG	"PF3D7_0611100,PF3D7_1408900,PF3D7_1455900,"
ec00750__PK__KEGG	"PF3D7_0616000,PF3D7_1116200,PF3D7_1459700,"
ec00512__PK__KEGG	"PF3D7_1210900,PF3D7_1247300,PF3D7_1341600,"
ec00072__PK__KEGG	"PF3D7_1437000,PF3D7_1450900,"
ec00460__PK__KEGG	"PF3D7_1235600,PF3D7_1456100,"
ec00980__PK__KEGG	"PF3D7_1414500,PF3D7_1419300,"
