KEGG_ID	Genes
ec00940__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0924000,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1126600,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00942__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1210900,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1247300,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1341600,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00340__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0218300,PF3D7_0303400,PF3D7_0407100,PF3D7_0409300,PF3D7_0528400,PF3D7_0609800,PF3D7_0622200,PF3D7_0622500,PF3D7_0714300,PF3D7_0805400,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914200,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_0932500,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1027900,PF3D7_1115900,PF3D7_1119100,PF3D7_1121000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1321400,PF3D7_1322500,PF3D7_1324700,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00270__PK__KEGG	"PF3D7_0204500,PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0519300,PF3D7_0520900,PF3D7_0602500,PF3D7_0618500,PF3D7_0622200,PF3D7_0622500,PF3D7_0727300,PF3D7_0821500,PF3D7_0826400,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0922200,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1033100,PF3D7_1119100,PF3D7_1128400,PF3D7_1129000,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1233700,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1303100,PF3D7_1309600,PF3D7_1324900,PF3D7_1325200,PF3D7_1332500,PF3D7_1354300,PF3D7_1360800,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00310__PK__KEGG	"PF3D7_0202900,PF3D7_0215900,PF3D7_0219100,PF3D7_0303400,PF3D7_0303700,PF3D7_0321500,PF3D7_0403900,PF3D7_0405700,PF3D7_0413700,PF3D7_0422000,PF3D7_0508100,PF3D7_0528400,PF3D7_0609800,PF3D7_0627500,PF3D7_0629700,PF3D7_0714300,PF3D7_0805400,PF3D7_0820700,PF3D7_0827800,PF3D7_0904400,PF3D7_0910000,PF3D7_0914200,PF3D7_0930000,PF3D7_0932500,PF3D7_1006900,PF3D7_1017200,PF3D7_1027900,PF3D7_1115200,PF3D7_1115900,PF3D7_1121000,PF3D7_1142700,PF3D7_1214200,PF3D7_1217900,PF3D7_1221000,PF3D7_1227800,PF3D7_1320800,PF3D7_1321400,PF3D7_1322100,PF3D7_1322500,PF3D7_1324700,PF3D7_1331300,PF3D7_1355300,PF3D7_1412200,PF3D7_1425200,PF3D7_1428300,PF3D7_1433600,PF3D7_1437000,PF3D7_1450900,PF3D7_1461400,"
ec01057__PK__KEGG	"PF3D7_0218300,PF3D7_0219100,PF3D7_0407100,PF3D7_0409300,PF3D7_0422000,PF3D7_0621200,PF3D7_0622200,PF3D7_0622500,PF3D7_0626100,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0918800,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1210900,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1247300,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1323000,PF3D7_1331600,PF3D7_1332500,PF3D7_1341600,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00450__PK__KEGG	"PF3D7_0103700,PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0522300,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0908600,PF3D7_0910400,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0923800,PF3D7_0925200,PF3D7_1005000,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1034900,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1205100,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1442300,PF3D7_1450600,PF3D7_1455200,"
ec00130__PK__KEGG	"PF3D7_0204900,PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0501400,PF3D7_0519300,PF3D7_0602500,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0826400,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1128400,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1414500,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
ec00970__PK__KEGG	"PF3D7_0102900,PF3D7_0103700,PF3D7_0109800,PF3D7_0211800,PF3D7_0311200,PF3D7_0416100,PF3D7_0509600,PF3D7_0514300,PF3D7_0603700,PF3D7_0622800,PF3D7_0628800,PF3D7_0717700,PF3D7_0807900,PF3D7_0828200,PF3D7_0913900,PF3D7_0925300,PF3D7_0934000,PF3D7_1005000,PF3D7_1015200,PF3D7_1034900,PF3D7_1104000,PF3D7_1117500,PF3D7_1126000,PF3D7_1205100,PF3D7_1213800,PF3D7_1216000,PF3D7_1218600,PF3D7_1225100,PF3D7_1232000,PF3D7_1251700,PF3D7_1313200,PF3D7_1331700,PF3D7_1332900,PF3D7_1336900,PF3D7_1349200,PF3D7_1350100,PF3D7_1357200,PF3D7_1367700,PF3D7_1416800,PF3D7_1420400,PF3D7_1442300,PF3D7_1445100,PF3D7_1461900,"
ec01051__PK__KEGG	"PF3D7_0218300,PF3D7_0407100,PF3D7_0409300,PF3D7_0610800,PF3D7_0622200,PF3D7_0622500,PF3D7_0821500,PF3D7_0908600,PF3D7_0912800,PF3D7_0914300,PF3D7_0916500,PF3D7_0916600,PF3D7_0925200,PF3D7_1018600,PF3D7_1020400,PF3D7_1022100,PF3D7_1027200,PF3D7_1119100,PF3D7_1129400,PF3D7_1133800,PF3D7_1145700,PF3D7_1210900,PF3D7_1230600,PF3D7_1235500,PF3D7_1236700,PF3D7_1246500,PF3D7_1247300,PF3D7_1248100,PF3D7_1249900,PF3D7_1309600,PF3D7_1332500,PF3D7_1341600,PF3D7_1354300,PF3D7_1406900,PF3D7_1407100,PF3D7_1411700,PF3D7_1415800,PF3D7_1429400,PF3D7_1439700,PF3D7_1450600,PF3D7_1455200,"
