DBLd1,5259
NTSB,1613
CIDRb1,1015
DBLa0.5,814
DBLa0.9,703
DBLb10,611
DBLb5,605
CIDRa2.4,427
DBLa0.11,424
DBLa0.13,405
DBLa0.15,356
CIDRa2.2,354
DBLg10,340
DBLg13,330
DBLb8,319
DBLb12,311
DBLa0.1,291
DBLg11,288
DBLa0.10,281
DBLb3,272
CIDRa2.6,272
CIDRa2.9,266
DBLd5,265
CIDRb5,254
CIDRa2.5,250
DBLd7,244
CIDRa3.2,242
DBLb13,241
CIDRg5,241
DBLa0.23,240
DBLd4,231
DBLd2,217
DBLb7,208
CIDRa3.3,204
CIDRa3.4,191
DBLg2,182
DBLz2,179
DBLz4,173
DBLa0.3,173
DBLa0.14,171
CIDRg11,170
CIDRb7,168
DBLb1,167
DBLa0.16,157
CIDRg12,152
DBLd3,151
DBLa0.8,147
DBLepam4,145
DBLg3,145
CIDRg10,141
CIDRb6,141
CIDRa2.10,141
DBLa0.12,135
DBLe4,134
CIDRa3.1,132
CIDRg4,130
CIDRa2.7,127
DBLb11,123
DBLpam2,120
DBLg17,119
DBLz1,117
DBLd9,115
DBLb6,112
CIDRb3,110
DBLb2,108
DBLa1.1,104
DBLg8,104
DBLa0.22,101
DBLa0.17,100
DBLpam1,99
DBLe1,98
DBLg1,96
DBLa0.20,95
DBLg6,94
DBLa1.8,93
DBLz6,92
DBLg9,92
CIDRa2.8,90
DBLepam5,85
DBLpam3,82
DBLa0.6,81
DBLa0.7,81
DBLg4,80
DBLa1.2,77
DBLa0.19,76
DBLe11,75
DBLg7,72
DBLa0.2,72
DBLe10,71
CIDRa2.3,70
DBLg14,66
DBLz5,65
DBLe3,63
CIDRg9,63
NTSA,58
CIDRg8,58
DBLe9,55
DBLe12,54
CIDRg6,54
CIDRpam,52
DBLe6,52
DBLa0.4,52
DBLd6,51
DBLg12,50
DBLb9,49
DBLa1.6,48
DBLg5,46
DBLe5,44
DBLa0.24,43
CIDRb4,42
DBLe14,38
CIDRa5,37
CIDRg7,37
DBLa1.7,36
CIDRa2.1,35
DBLb4,33
CIDRa1.2,33
CIDRa1.7,33
CIDRa4,30
DBLa2,30
CIDRa1.4,28
DBLe8,27
CIDRa2.11,25
DBLg16,24
CIDRb2,23
DBLa0.18,23
DBLd8,22
CIDRd1,20
DBLz3,19
DBLa1.5,19
DBLg15,17
DBLa0.21,16
DBLa1.3,15
CIDRa1.5,15
DBLa1.4,14
DBLg18,8
DBLe2,8
DBLe7,8
NTSpam,8
CIDRa1.6,7
CIDRg3,3
CIDRg2,2
CIDRg1,2
CIDRd2,2
CIDRa6,1
CIDRa1.3,1
