DBLd1,1555
NTSB,1512
CIDRb1,364
DBLe4,300
DBLa0.5,297
DBLz2,288
CIDRa2.4,209
DBLa0.9,208
DBLa0.13,139
DBLa0.11,138
DBLg10,136
CIDRa2.6,131
CIDRb5,114
DBLg8,110
DBLg14,102
DBLa0.10,100
DBLg17,99
DBLb10,96
DBLa0.16,94
CIDRa2.5,93
CIDRa3.3,92
DBLg13,86
DBLd7,86
DBLg3,83
CIDRg10,77
DBLb3,74
DBLb12,74
DBLb5,72
DBLg11,71
DBLa0.23,71
DBLa0.1,70
DBLa0.15,68
CIDRa3.4,68
DBLb13,66
DBLb8,64
DBLe1,64
DBLa0.14,59
CIDRa2.2,56
DBLd2,55
CIDRb6,53
DBLb11,53
CIDRa3.1,52
DBLg1,51
DBLd4,50
DBLz4,49
DBLa0.22,48
CIDRa2.8,46
DBLa1.1,43
DBLd5,40
DBLa0.20,38
CIDRa2.10,37
CIDRb3,36
DBLd3,34
DBLa0.17,33
DBLz1,32
CIDRg5,32
DBLz6,31
DBLb2,30
DBLe3,30
DBLa0.24,30
DBLa1.8,30
DBLe6,29
CIDRa3.2,27
DBLg2,26
CIDRa2.1,25
CIDRb7,24
DBLe10,24
DBLepam4,23
DBLg6,23
DBLe5,22
DBLe9,22
DBLa0.7,22
DBLb1,21
DBLa0.19,21
DBLa1.2,21
DBLa0.8,21
DBLa0.2,21
DBLb6,20
DBLz5,19
DBLg7,19
DBLepam5,18
CIDRg4,18
DBLa0.3,18
DBLd6,17
DBLb7,17
CIDRa2.9,17
CIDRa2.3,17
DBLg5,17
DBLg12,16
NTSA,16
DBLg4,16
DBLpam2,16
DBLa1.6,15
DBLb4,15
DBLe14,15
CIDRa2.7,15
DBLg9,15
DBLa0.6,15
CIDRg11,14
DBLz3,14
CIDRg7,14
DBLe11,13
DBLa0.12,13
DBLa2,12
DBLpam3,12
DBLd9,11
CIDRa4,11
DBLd8,10
CIDRa1.2,10
CIDRb4,9
CIDRb2,9
DBLa1.4,9
DBLa0.18,7
DBLg15,6
DBLa1.5,6
CIDRa1.7,6
DBLpam1,6
DBLg18,5
DBLg16,5
CIDRg12,5
DBLb9,5
CIDRg6,5
DBLa0.4,5
CIDRpam,4
CIDRg8,4
DBLe8,3
CIDRa1.5,3
CIDRd1,3
DBLe2,2
DBLe7,2
CIDRa5,2
CIDRg2,2
DBLa1.3,2
CIDRa1.6,2
CIDRg9,2
DBLa0.21,1
DBLa1.7,1
CIDRa1.3,1
DBLe12,1
